               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092007,            0.022236,            0.022851,             0.66026,             0.27273,             0.17901,            0.042941,             0.04494,            0.012784,           0.0071056,            0.070275,           0.0033028,           0.0033028
                   1,            0.066187,            0.022751,            0.011791,             0.73407,             0.25506,             0.53076,              0.1779,            0.036048,           0.0099571,             0.00483,            0.039947,           0.0063076,           0.0063076
                   2,            0.061669,            0.019447,            0.010107,             0.44762,             0.48849,             0.63713,             0.20655,            0.035657,            0.007893,           0.0041227,           0.0092883,           0.0089824,           0.0089824
                   3,            0.056449,            0.016747,           0.0089464,             0.60982,             0.60227,             0.67091,             0.28764,            0.030488,           0.0066913,           0.0036221,            0.008515,            0.008515,            0.008515
                   4,            0.050812,            0.015877,           0.0090528,             0.61163,               0.875,             0.88663,             0.35622,            0.028689,           0.0062137,            0.003086,            0.008515,            0.008515,            0.008515
                   5,            0.048013,            0.014724,           0.0086403,             0.76196,              0.8002,             0.85423,             0.37277,            0.029519,            0.006005,           0.0027591,             0.00802,             0.00802,             0.00802
                   6,            0.045231,            0.014282,           0.0075074,             0.77039,             0.73726,              0.9101,             0.39361,            0.023678,           0.0063706,           0.0054944,            0.007525,            0.007525,            0.007525
                   7,            0.041199,            0.013401,           0.0076932,             0.84404,             0.83526,             0.91945,             0.50902,            0.023276,           0.0054648,           0.0046197,             0.00703,             0.00703,             0.00703
                   8,            0.041093,            0.013537,           0.0068905,                0.93,              0.8711,             0.92966,             0.49137,            0.021551,           0.0057532,           0.0038564,            0.006535,            0.006535,            0.006535
                   9,             0.03993,            0.013084,           0.0069147,             0.91265,             0.86364,             0.91623,             0.49101,            0.021822,            0.005496,           0.0027236,             0.00604,             0.00604,             0.00604
                  10,            0.038838,            0.013134,           0.0054203,             0.97426,             0.90209,              0.9488,             0.51807,            0.021104,           0.0055936,           0.0019982,            0.005545,            0.005545,            0.005545
                  11,            0.036824,            0.012861,           0.0063643,             0.93015,             0.94588,             0.97188,              0.5651,            0.020589,           0.0052367,           0.0017896,             0.00505,             0.00505,             0.00505
                  12,            0.036761,            0.012566,           0.0052654,             0.97588,             0.90702,             0.97909,             0.51134,            0.021357,           0.0051945,           0.0014954,            0.004555,            0.004555,            0.004555
                  13,            0.036374,            0.012485,           0.0057324,             0.98302,             0.96273,             0.99307,             0.51101,            0.021253,           0.0052761,           0.0015494,             0.00406,             0.00406,             0.00406
                  14,            0.035381,            0.012531,           0.0050431,              0.9836,             0.95265,              0.9778,             0.57381,            0.019612,           0.0050749,           0.0014774,            0.003565,            0.003565,            0.003565
                  15,            0.034208,            0.012492,           0.0050704,             0.98799,             0.95775,             0.98222,             0.56076,            0.020183,           0.0051241,           0.0014684,             0.00307,             0.00307,             0.00307
                  16,            0.034625,            0.012445,           0.0051869,             0.98064,              0.9496,             0.97626,             0.57969,            0.019444,           0.0050315,           0.0011293,            0.002575,            0.002575,            0.002575
                  17,            0.032959,            0.012085,           0.0046201,             0.98788,             0.94557,             0.98287,             0.57549,            0.019475,           0.0049344,           0.0012307,             0.00208,             0.00208,             0.00208
                  18,            0.033724,            0.011931,           0.0045027,             0.98959,             0.95833,             0.98376,             0.54506,            0.019961,           0.0049044,           0.0010277,            0.001585,            0.001585,            0.001585
                  19,              0.0328,            0.011762,           0.0036981,             0.99204,             0.95833,             0.98833,             0.57524,            0.019409,            0.004925,          0.00098741,             0.00109,             0.00109,             0.00109
